sentence,label
"i`m so worn out, this week has sped by soo fast. gonna ask mum if we can go to the movies. i`m desperate",0
Lookin` at spreadsheets so long my eyes are crossing...,0
  Word. Yayy twitter after dark lol.,1
" Well, guess we just make a pretty great pair.  So, I don`t think our birthday date is going to happen. :`(",0
BEEN TOWN WITH THE MOTHER  NICE & SUNNNY,1
 time to leave a passive agressive note to the owners.  It`s not the dog`s fault... it`s their **** owners,0
 I don`t think I can bear such cuteness this early in the day! Kudos to Fair Empress,1
 its taking forever to upload,0
Yay for having a giant headache  stupid glasses.,0
my twitter looks funny  someone help!,0
 What does it matter? We ALL love you.  Take your pick. HA!,1
It is 00:03 I`m Wrecked  I`M Hungry & I have to get up early. Not the perfect Fri night LOL night,0
 thank you! It`s sunny outside so that`s a good start,1
Just have to say again how much I like the new twitteriffic,1
"whatever. i give up, my phones about to die anyway.  next time",0
" Trust me, that`s a GOOD thing. Your 40-something self will thank you.",1
 http://twitpic.com/4ve84 - Wow! A nice laptop,1
"First impression of Silverlight: sadly, based on what I saw today, it`s quite problematic",0
last day of work  ...but everyone is making it so great!,1
is getting ready to start the work week...work 2 off 3 then work 3 more. It`s not bad  Have a great one everybody!!,1
bored fixed the internet for my dad but now im bored to death,0
 Thanks for the follow! (raises hand) I am,1
a headache once again ugh,0
" hey thought ud be on here most likely, im stressed out  i really dont know why  x",0
Next to my birthday- Mother`s Day is my favorite day of the year.  The one day I don`t feel guilty for slacking just a little.   Aaaahh...,1
" good girl, sarah. now we`ve got ourselves a club",1
being far too vigorous with pruning and regretting the removal of too many cucumber flowers off cucumber plant.,0
They are unloading a Leopard Tank just next to my office window. Hope I didn`t piss off anyone,1
 Know exactly what you mean  I`ve lost too many friends. I do feel for you all,0
Home Sweet Home by Carrie Underwood makes me sadd,0
"im really bored, anthony is doing senior board ****. and im hungry and cold.",0
Justin Timberlake and Leonard Nimoy? And a **** in The Box sequel? priceless,1
 yup-unfortunately  Took today off work and just slept all day.,0
 Anyone with big fingers  But I`ve loved it...,1
 I haven`t had a good homemade flour tortilla in ages.,0
wishes a Happy Mother`s Day to all mothers! Especially her own.  http://plurk.com/p/svg9d,1
Now i feel really really bad...sorry,0
"#liesboystell Your the only one, I love (they really have several women)",0
 ekkk..thats ruff..hope you have a safe flight and good meeting,1
Swiped the last package of fruit snacks! Hell yeah. Finished Catch-22. What shall I read next?!? I`m such a nerd,0
" I saw this link, but I get an error on the CNN site when I open this page and cannot read the article.",0
" good afternoon, hope you have a great week",1
Now I want ice cream but it`s so expensive.,0
is working hard or maybe thats hardly working,0
 What? I was being serious.,0
Nothing 2 do 2nte  Boooooooo! I`m totally bored!,0
this sux but took like 4 minutes. going to sleep finally  http://img36.imageshack.us/img36/4603/iprevailedsig.png,0
I`m quite afraid to string now since I don`t have any .024 wire use,0
NCP no longer has job placement,0
" awe! i miss him so much. they`re on 'vacation'. which has lasted for like, six months. and i miss you!",0
 Whats up today..? missed the #coffeeclub that day,0
"Is feeling sick, probably a summer flu",0
Swolen as shitt  boo hoo,0
 too bad i dont have either,0
 it was way worse than that ...and where were you why didnt you say hello?,0
 It`s becoming a very tough race. Linda is indeed very talented. But someone has to go every week.  We cut two this week.,0
   .ï¿½ï¿½?????ï¿½ï¿½.  i bet. man i wish i coulda went some whr. i didn`t even go out here. i was home all weekend.  nyt life sux here,0
" also, try Friendly Fires if you haven`t already heard them. great stuff  AND Florence and The Machine. Great, great music",1
Good morning everyone! It`s back to work for me - so won`t be able to chat until tonight - I hope everyone has a great day!,1
off to bed for the night. goods night everyone,1
"i lost my nintendogs, it`s very upsetting.",0
Recovering from a bad fall at lunch. Great start to the weekend.,1
needs to mug for Chinese A`s but doesn`t feel like it.,0
"had an answered prayer which caught me by surprise. LORD, you are amazing!",1
http://twitpic.com/4j8us - It is interesting that VS2003 generates a setup script for uninstall.,1
Yes man was good,1
at dancing...waiting for my turn  hope i get my newww cd with the funky reel music todayy!!!,0
Loves her david soooooo much <3,1
_creek No worries - thank google! There`s nothing you can`t find on there!,1
 Oh! Good idea about putting them on ice cream,1
